Name,Address,Pin Code,Age,latitude,longitude,Date_of_birth,Nationality,Diabetic,Religion,Height,Nationality,Diabetic,Religion,Height
Roger Gomez,"7428 183rd St, Pittsburgh, GA 97622",97622,57,34.056057,-111.689457,1967-09-17,French,No,Zoroastrianism,Average,French,No,Zoroastrianism,Average
Hunter Parker,"9801 91st St, Coral Springs, IN 18428",18428,64,37.906582,-78.63377,1960-09-16,Spanish,Yes,Zoroastrianism,Tall,Spanish,Yes,Zoroastrianism,Tall
Jay Taylor,"9801 91st St, Coral Springs, IN 18428",18428,26,37.906582,-78.63377,1998-09-17,Russian,No,Druidism,Tall,Russian,No,Druidism,Tall
George Morris,"9801 91st St, Coral Springs, IN 18428",18428,57,37.906582,-78.63377,1967-09-17,Russian,No,Confucianism,Short,Russian,No,Confucianism,Short
Jessica Peterson,"1912 24th St, Portland, SD 30204",30204,52,45.091951,-103.89035,1972-09-16,Polish,No,Hinduism,Tall,Polish,No,Hinduism,Tall
Adam Scott,"1912 24th St, Portland, SD 30204",30204,47,45.091951,-103.89035,1977-09-17,Korean,Yes,Confucianism,Short,Korean,Yes,Confucianism,Short
David Smith,"1912 24th St, Portland, SD 30204",30204,80,45.091951,-103.89035,1944-09-16,Swedish,Yes,Islam,Average,Swedish,Yes,Islam,Average
Natalie Wright,"6777 181st St, Manchester, VT 28474",28474,57,28.988051,-114.970045,1967-09-17,Canadian,Yes,Baháʼí,Average,Canadian,Yes,Baháʼí,Average
Donna Thomas,"6777 181st St, Manchester, VT 28474",28474,34,28.988051,-114.970045,1990-09-17,Indian,Yes,Confucianism,Average,Indian,Yes,Confucianism,Average
Shane Evans,"9507 10th St, Miami, MN 79106",79106,79,24.506297,-106.202748,1945-09-17,Polish,No,Sikhism,Average,Polish,No,Sikhism,Average
James Gutierrez,"9507 10th St, Miami, MN 79106",79106,65,24.506297,-106.202748,1959-09-17,Italian,No,Rastafarianism,Tall,Italian,No,Rastafarianism,Tall
Charles Flores,"9507 10th St, Miami, MN 79106",79106,77,24.506297,-106.202748,1947-09-17,English,No,Hinduism,Short,English,No,Hinduism,Short
Crystal Lewis,"9507 10th St, Miami, MN 79106",79106,68,24.506297,-106.202748,1956-09-16,Italian,No,Confucianism,Average,Italian,No,Confucianism,Average
Sheena Baker,"1315 178th St, Temecula, FL 85815",85815,70,37.007501,-76.139661,1954-09-17,Greek,No,Buddhism,Average,Greek,No,Buddhism,Average
Kimberly Brown,"1315 178th St, Temecula, FL 85815",85815,67,37.007501,-76.139661,1957-09-17,Chinese,No,Deism,Short,Chinese,No,Deism,Short
Karina Roberts,"2878 192nd St, El Paso, MA 45315",45315,71,40.383375,-73.189091,1953-09-17,Brazilian,Yes,Islam,Short,Brazilian,Yes,Islam,Short
Jessica Rogers,"2878 192nd St, El Paso, MA 45315",45315,80,40.383375,-73.189091,1944-09-16,Greek,No,Druidism,Short,Greek,No,Druidism,Short
Joseph Roberts,"2878 192nd St, El Paso, MA 45315",45315,80,40.383375,-73.189091,1944-09-16,English,No,Paganism,Short,English,No,Paganism,Short
Brittany Hernandez,"7407 62nd St, Los Angeles, WY 32174",32174,22,47.730884,-109.581026,2002-09-17,Mexican,No,Unitarianism,Short,Mexican,No,Unitarianism,Short
Alyssa Nguyen,"7407 62nd St, Los Angeles, WY 32174",32174,40,47.730884,-109.581026,1984-09-16,Swedish,Yes,Jainism,Tall,Swedish,Yes,Jainism,Tall
Robert Morris,"7407 62nd St, Los Angeles, WY 32174",32174,45,47.730884,-109.581026,1979-09-17,Russian,No,Christianity,Short,Russian,No,Christianity,Short
Jennifer Wright,"7407 62nd St, Los Angeles, WY 32174",32174,69,47.730884,-109.581026,1955-09-17,Italian,No,Atheism,Tall,Italian,No,Atheism,Tall
Norma Wilson,"2528 67th St, Aurora, IN 97394",97394,56,27.98688,-77.205297,1968-09-16,Korean,Yes,Hinduism,Short,Korean,Yes,Hinduism,Short
Stephanie Wilson,"2528 67th St, Aurora, IN 97394",97394,59,27.98688,-77.205297,1965-09-17,Irish,No,Pastafarianism,Short,Irish,No,Pastafarianism,Short
Heather Bailey,"2528 67th St, Aurora, IN 97394",97394,60,27.98688,-77.205297,1964-09-16,Russian,Yes,Agnostic,Average,Russian,Yes,Agnostic,Average
Mitchell Young,"2528 67th St, Aurora, IN 97394",97394,34,27.98688,-77.205297,1990-09-17,Canadian,Yes,Confucianism,Average,Canadian,Yes,Confucianism,Average
Kelly Murphy,"3052 169th St, Broken Arrow, IN 54122",54122,38,43.222909,-89.284099,1986-09-17,Brazilian,No,Confucianism,Average,Brazilian,No,Confucianism,Average
Heather Nguyen,"3052 169th St, Broken Arrow, IN 54122",54122,36,43.222909,-89.284099,1988-09-16,Dutch,No,Unitarianism,Average,Dutch,No,Unitarianism,Average
Kayla Smith,"3052 169th St, Broken Arrow, IN 54122",54122,48,43.222909,-89.284099,1976-09-16,Chinese,Yes,Christianity,Average,Chinese,Yes,Christianity,Average
Caleb Allen,"9951 163rd St, Daly City, NE 75669",75669,56,28.014865,-119.762858,1968-09-16,Greek,No,Zoroastrianism,Average,Greek,No,Zoroastrianism,Average
Erika Moore,"9951 163rd St, Daly City, NE 75669",75669,42,28.014865,-119.762858,1982-09-17,Irish,No,Hinduism,Short,Irish,No,Hinduism,Short
James Davis,"9951 163rd St, Daly City, NE 75669",75669,73,28.014865,-119.762858,1951-09-17,Chinese,Yes,Zoroastrianism,Short,Chinese,Yes,Zoroastrianism,Short
Daniel Young,"9951 163rd St, Daly City, NE 75669",75669,78,28.014865,-119.762858,1946-09-17,Mexican,Yes,Christianity,Average,Mexican,Yes,Christianity,Average
Aaron Cook,"9951 163rd St, Daly City, NE 75669",75669,23,28.014865,-119.762858,2001-09-17,German,No,Rastafarianism,Average,German,No,Rastafarianism,Average
Spencer Parker,"9951 163rd St, Daly City, NE 75669",75669,43,28.014865,-119.762858,1981-09-17,French,Yes,Jainism,Average,French,Yes,Jainism,Average
Jason Evans,"9951 163rd St, Daly City, NE 75669",75669,29,28.014865,-119.762858,1995-09-17,Chinese,No,Confucianism,Short,Chinese,No,Confucianism,Short
Brooke Sanchez,"392 118th St, Aurora, ME 47813",47813,68,38.619556,-98.054525,1956-09-16,Greek,No,Buddhism,Average,Greek,No,Buddhism,Average
Norma Morales,"392 118th St, Aurora, ME 47813",47813,60,38.619556,-98.054525,1964-09-16,Korean,No,Baháʼí,Average,Korean,No,Baháʼí,Average
Randy Wilson,"392 118th St, Aurora, ME 47813",47813,47,38.619556,-98.054525,1977-09-17,Mexican,No,Zoroastrianism,Short,Mexican,No,Zoroastrianism,Short
Susan Stewart,"392 118th St, Aurora, ME 47813",47813,24,38.619556,-98.054525,2000-09-16,French,Yes,Buddhism,Short,French,Yes,Buddhism,Short
Tina Taylor,"4175 142nd St, Arvada, AL 64497",64497,27,26.087134,-118.035452,1997-09-17,Chinese,No,Jainism,Tall,Chinese,No,Jainism,Tall
Deanna Campbell,"4175 142nd St, Arvada, AL 64497",64497,44,26.087134,-118.035452,1980-09-16,Brazilian,Yes,Sikhism,Average,Brazilian,Yes,Sikhism,Average
Javier Lopez,"4175 142nd St, Arvada, AL 64497",64497,21,26.087134,-118.035452,2003-09-17,Spanish,No,Hinduism,Short,Spanish,No,Hinduism,Short
Joy Campbell,"4175 142nd St, Arvada, AL 64497",64497,36,26.087134,-118.035452,1988-09-16,Russian,No,Agnostic,Tall,Russian,No,Agnostic,Tall
Michael Brown,"4175 142nd St, Arvada, AL 64497",64497,54,26.087134,-118.035452,1970-09-17,Irish,Yes,Jainism,Short,Irish,Yes,Jainism,Short
Jennifer Adams,"4175 142nd St, Arvada, AL 64497",64497,50,26.087134,-118.035452,1974-09-17,Brazilian,No,Hinduism,Tall,Brazilian,No,Hinduism,Tall
Kevin Hall,"4143 31st St, Irvine, AL 54149",54149,69,28.558789,-109.007688,1955-09-17,Irish,Yes,Islam,Tall,Irish,Yes,Islam,Tall
Angel Gonzalez,"4143 31st St, Irvine, AL 54149",54149,49,28.558789,-109.007688,1975-09-17,Spanish,Yes,Paganism,Average,Spanish,Yes,Paganism,Average
Michael Morris,"4143 31st St, Irvine, AL 54149",54149,40,28.558789,-109.007688,1984-09-16,Vietnamese,No,Baháʼí,Average,Vietnamese,No,Baháʼí,Average
Christopher Clark,"4143 31st St, Irvine, AL 54149",54149,42,28.558789,-109.007688,1982-09-17,Greek,No,Paganism,Tall,Greek,No,Paganism,Tall
Wayne Wilson,"4143 31st St, Irvine, AL 54149",54149,62,28.558789,-109.007688,1962-09-17,Russian,No,Unitarianism,Average,Russian,No,Unitarianism,Average
Dustin Reed,"4143 31st St, Irvine, AL 54149",54149,71,28.558789,-109.007688,1953-09-17,Vietnamese,No,Agnostic,Short,Vietnamese,No,Agnostic,Short
Patricia Evans,"7982 63rd St, Glendale, MN 57089",57089,29,26.100089,-95.168957,1995-09-17,English,Yes,Druidism,Short,English,Yes,Druidism,Short
Chris Brown,"7982 63rd St, Glendale, MN 57089",57089,53,26.100089,-95.168957,1971-09-17,Russian,No,Deism,Tall,Russian,No,Deism,Tall
Amy Wilson,"7982 63rd St, Glendale, MN 57089",57089,50,26.100089,-95.168957,1974-09-17,Vietnamese,No,Paganism,Tall,Vietnamese,No,Paganism,Tall
Cynthia Miller,"4885 107th St, Montgomery, IA 37276",37276,60,42.70759,-121.798154,1964-09-16,American,No,Deism,Short,American,No,Deism,Short
Brian Baker,"4885 107th St, Montgomery, IA 37276",37276,80,42.70759,-121.798154,1944-09-16,Italian,No,Taoism,Short,Italian,No,Taoism,Short
Joseph Collins,"4885 107th St, Montgomery, IA 37276",37276,22,42.70759,-121.798154,2002-09-17,English,No,Sikhism,Tall,English,No,Sikhism,Tall
Vincent Smith,"8168 22nd St, Pueblo, MO 19416",19416,43,38.620809,-111.598241,1981-09-17,American,Yes,Islam,Short,American,Yes,Islam,Short
Alyssa Thomas,"8168 22nd St, Pueblo, MO 19416",19416,34,38.620809,-111.598241,1990-09-17,Korean,No,Islam,Short,Korean,No,Islam,Short
John Gonzalez,"8168 22nd St, Pueblo, MO 19416",19416,59,38.620809,-111.598241,1965-09-17,Irish,Yes,Judaism,Tall,Irish,Yes,Judaism,Tall
Theresa Cruz,"8168 22nd St, Pueblo, MO 19416",19416,45,38.620809,-111.598241,1979-09-17,Japanese,No,Christianity,Average,Japanese,No,Christianity,Average
Dean Campbell,"8168 22nd St, Pueblo, MO 19416",19416,35,38.620809,-111.598241,1989-09-17,Polish,No,Buddhism,Short,Polish,No,Buddhism,Short
Eric Cook,"2005 55th St, San Marcos, ME 94841",94841,74,25.850271,-74.735681,1950-09-17,Dutch,No,Atheism,Average,Dutch,No,Atheism,Average
Brianna Phillips,"2005 55th St, San Marcos, ME 94841",94841,63,25.850271,-74.735681,1961-09-17,Irish,Yes,Confucianism,Average,Irish,Yes,Confucianism,Average
Don Morris,"4856 115th St, Cary, PA 69856",69856,43,38.353744,-83.230411,1981-09-17,Canadian,No,Pastafarianism,Short,Canadian,No,Pastafarianism,Short
Hannah Evans,"7552 163rd St, Grand Rapids, MT 41934",41934,43,25.655942,-92.178017,1981-09-17,Canadian,Yes,Shinto,Average,Canadian,Yes,Shinto,Average
Dustin Flores,"7552 163rd St, Grand Rapids, MT 41934",41934,63,25.655942,-92.178017,1961-09-17,American,Yes,Confucianism,Tall,American,Yes,Confucianism,Tall
Benjamin Phillips,"7552 163rd St, Grand Rapids, MT 41934",41934,63,25.655942,-92.178017,1961-09-17,Indian,No,Sikhism,Short,Indian,No,Sikhism,Short
Roger Wright,"7552 163rd St, Grand Rapids, MT 41934",41934,46,25.655942,-92.178017,1978-09-17,French,Yes,Agnostic,Short,French,Yes,Agnostic,Short
Andrea Moore,"6120 144th St, Grand Prairie, AR 59285",59285,43,33.742934,-113.133667,1981-09-17,Italian,No,Confucianism,Average,Italian,No,Confucianism,Average
Kristen Brown,"8948 82nd St, Des Moines, LA 55743",55743,48,26.627,-93.653498,1976-09-16,English,No,Christianity,Short,English,No,Christianity,Short
Lydia Rodriguez,"8948 82nd St, Des Moines, LA 55743",55743,63,26.627,-93.653498,1961-09-17,Italian,Yes,Atheism,Short,Italian,Yes,Atheism,Short
Anthony Garcia,"9256 108th St, Miramar, OR 36949",36949,76,33.042975,-86.595908,1948-09-16,English,No,Agnostic,Average,English,No,Agnostic,Average
Nancy Sanchez,"9256 108th St, Miramar, OR 36949",36949,75,33.042975,-86.595908,1949-09-17,Irish,No,Rastafarianism,Average,Irish,No,Rastafarianism,Average
Amanda Carter,"9256 108th St, Miramar, OR 36949",36949,66,33.042975,-86.595908,1958-09-17,Korean,Yes,Paganism,Short,Korean,Yes,Paganism,Short
Rebecca Thompson,"9605 172nd St, Wichita, IN 37955",37955,29,43.962513,-103.000096,1995-09-17,Mexican,Yes,Druidism,Short,Mexican,Yes,Druidism,Short
Antonio Mitchell,"8530 156th St, Houston, CA 43003",43003,30,38.967717,-94.461571,1994-09-17,American,Yes,Islam,Tall,American,Yes,Islam,Tall
Christopher Nelson,"8530 156th St, Houston, CA 43003",43003,58,38.967717,-94.461571,1966-09-17,Spanish,Yes,Rastafarianism,Tall,Spanish,Yes,Rastafarianism,Tall
Cristina Rogers,"6988 189th St, Pasadena, HI 37492",37492,43,34.733096,-105.511091,1981-09-17,Indian,Yes,Unitarianism,Short,Indian,Yes,Unitarianism,Short
Nicole Williams,"6988 189th St, Pasadena, HI 37492",37492,25,34.733096,-105.511091,1999-09-17,Canadian,Yes,Paganism,Short,Canadian,Yes,Paganism,Short
Russell Thompson,"6988 189th St, Pasadena, HI 37492",37492,58,34.733096,-105.511091,1966-09-17,Korean,No,Hinduism,Tall,Korean,No,Hinduism,Tall
Kevin Morgan,"6988 189th St, Pasadena, HI 37492",37492,31,34.733096,-105.511091,1993-09-17,Irish,Yes,Buddhism,Average,Irish,Yes,Buddhism,Average
Ian Davis,"6988 189th St, Pasadena, HI 37492",37492,50,34.733096,-105.511091,1974-09-17,Canadian,Yes,Taoism,Short,Canadian,Yes,Taoism,Short
Vicki Cooper,"6389 50th St, Albuquerque, KY 72389",72389,31,47.517832,-83.943031,1993-09-17,American,No,Judaism,Tall,American,No,Judaism,Tall
Mark Turner,"6389 50th St, Albuquerque, KY 72389",72389,57,47.517832,-83.943031,1967-09-17,Canadian,No,Unitarianism,Tall,Canadian,No,Unitarianism,Tall
Brianna Cook,"6357 179th St, Columbus, VT 28084",28084,34,28.805465,-80.740862,1990-09-17,Indian,Yes,Atheism,Short,Indian,Yes,Atheism,Short
Darrell Anderson,"6357 179th St, Columbus, VT 28084",28084,20,28.805465,-80.740862,2004-09-16,Russian,Yes,Jainism,Short,Russian,Yes,Jainism,Short
Beth White,"6357 179th St, Columbus, VT 28084",28084,36,28.805465,-80.740862,1988-09-16,Brazilian,No,Deism,Tall,Brazilian,No,Deism,Tall
Laura Martin,"6357 179th St, Columbus, VT 28084",28084,65,28.805465,-80.740862,1959-09-17,Canadian,Yes,Jainism,Short,Canadian,Yes,Jainism,Short
Kathryn Cruz,"6357 179th St, Columbus, VT 28084",28084,56,28.805465,-80.740862,1968-09-16,American,Yes,Atheism,Average,American,Yes,Atheism,Average
Ashley Martin,"6357 179th St, Columbus, VT 28084",28084,30,28.805465,-80.740862,1994-09-17,Indian,No,Atheism,Short,Indian,No,Atheism,Short
Kathy Davis,"6357 179th St, Columbus, VT 28084",28084,42,28.805465,-80.740862,1982-09-17,Brazilian,Yes,Druidism,Tall,Brazilian,Yes,Druidism,Tall
Joseph Hall,"6357 179th St, Columbus, VT 28084",28084,47,28.805465,-80.740862,1977-09-17,Italian,No,Paganism,Tall,Italian,No,Paganism,Tall
Andrea Williams,"6712 6th St, Fresno, GA 64925",64925,48,29.651299,-110.261866,1976-09-16,English,Yes,Buddhism,Short,English,Yes,Buddhism,Short
Joseph Cook,"6712 6th St, Fresno, GA 64925",64925,23,29.651299,-110.261866,2001-09-17,Russian,No,Rastafarianism,Tall,Russian,No,Rastafarianism,Tall
Michael Hall,"6712 6th St, Fresno, GA 64925",64925,76,29.651299,-110.261866,1948-09-16,Russian,No,Sikhism,Average,Russian,No,Sikhism,Average
Javier Robinson,"3861 47th St, Raleigh, RI 99406",99406,38,26.336957,-70.382829,1986-09-17,French,No,Agnostic,Short,French,No,Agnostic,Short
Joan Phillips,"1140 124th St, Simi Valley, NH 61542",61542,48,39.333768,-84.531299,1976-09-16,Vietnamese,Yes,Pastafarianism,Short,Vietnamese,Yes,Pastafarianism,Short
Logan Stewart,"1140 124th St, Simi Valley, NH 61542",61542,72,39.333768,-84.531299,1952-09-16,Polish,No,Unitarianism,Tall,Polish,No,Unitarianism,Tall
Kevin Garcia,"2148 128th St, Norfolk, ID 75775",75775,24,40.462627,-118.678005,2000-09-16,Italian,Yes,Confucianism,Average,Italian,Yes,Confucianism,Average
Tracey Robinson,"8583 107th St, Garden Grove, LA 74727",74727,22,45.025264,-84.48018,2002-09-17,Dutch,No,Paganism,Short,Dutch,No,Paganism,Short
Nicholas Moore,"8583 107th St, Garden Grove, LA 74727",74727,56,45.025264,-84.48018,1968-09-16,Swedish,No,Islam,Tall,Swedish,No,Islam,Tall
Edward Stewart,"8583 107th St, Garden Grove, LA 74727",74727,25,45.025264,-84.48018,1999-09-17,Chinese,No,Jainism,Short,Chinese,No,Jainism,Short
Amber Rivera,"8583 107th St, Garden Grove, LA 74727",74727,48,45.025264,-84.48018,1976-09-16,Indian,Yes,Confucianism,Average,Indian,Yes,Confucianism,Average
Alexander Torres,"7260 22nd St, Garland, NM 74560",74560,35,39.34847,-100.923533,1989-09-17,Italian,Yes,Deism,Tall,Italian,Yes,Deism,Tall
Kendra Martinez,"7260 22nd St, Garland, NM 74560",74560,21,39.34847,-100.923533,2003-09-17,Vietnamese,No,Shinto,Short,Vietnamese,No,Shinto,Short
Janice Turner,"2671 114th St, Saint Paul, NV 68030",68030,47,42.448037,-101.393957,1977-09-17,Russian,Yes,Confucianism,Tall,Russian,Yes,Confucianism,Tall
Danielle Ortiz,"2671 114th St, Saint Paul, NV 68030",68030,50,42.448037,-101.393957,1974-09-17,Japanese,Yes,Pastafarianism,Tall,Japanese,Yes,Pastafarianism,Tall
Susan Parker,"2671 114th St, Saint Paul, NV 68030",68030,78,42.448037,-101.393957,1946-09-17,Chinese,Yes,Judaism,Average,Chinese,Yes,Judaism,Average
Jeffery King,"2671 114th St, Saint Paul, NV 68030",68030,21,42.448037,-101.393957,2003-09-17,Vietnamese,No,Hinduism,Average,Vietnamese,No,Hinduism,Average
Antonio Adams,"7806 157th St, High Point, WI 52349",52349,50,35.712216,-111.541734,1974-09-17,Italian,Yes,Pastafarianism,Short,Italian,Yes,Pastafarianism,Short
Jeffery Rogers,"7806 157th St, High Point, WI 52349",52349,61,35.712216,-111.541734,1963-09-17,Polish,No,Confucianism,Tall,Polish,No,Confucianism,Tall
Chase Roberts,"3755 78th St, Colorado Springs, CT 27848",27848,53,46.682559,-77.336862,1971-09-17,Mexican,No,Judaism,Tall,Mexican,No,Judaism,Tall
Michael Moore,"3755 78th St, Colorado Springs, CT 27848",27848,39,46.682559,-77.336862,1985-09-17,French,No,Taoism,Tall,French,No,Taoism,Tall
Cody Clark,"3755 78th St, Colorado Springs, CT 27848",27848,46,46.682559,-77.336862,1978-09-17,Vietnamese,Yes,Zoroastrianism,Short,Vietnamese,Yes,Zoroastrianism,Short
Christopher Ramirez,"3147 57th St, Oakland, MD 44122",44122,43,48.331213,-111.099531,1981-09-17,German,No,Atheism,Average,German,No,Atheism,Average
Lisa Reyes,"3147 57th St, Oakland, MD 44122",44122,63,48.331213,-111.099531,1961-09-17,Korean,Yes,Baháʼí,Average,Korean,Yes,Baháʼí,Average
Christian Gonzalez,"3147 57th St, Oakland, MD 44122",44122,62,48.331213,-111.099531,1962-09-17,Korean,Yes,Unitarianism,Tall,Korean,Yes,Unitarianism,Tall
Marcus Flores,"7357 145th St, Costa Mesa, ID 91186",91186,48,29.472947,-114.724458,1976-09-16,Swedish,No,Sikhism,Short,Swedish,No,Sikhism,Short
Patrick Jackson,"7357 145th St, Costa Mesa, ID 91186",91186,45,29.472947,-114.724458,1979-09-17,Japanese,No,Confucianism,Tall,Japanese,No,Confucianism,Tall
Elizabeth Robinson,"7357 145th St, Costa Mesa, ID 91186",91186,51,29.472947,-114.724458,1973-09-17,Italian,No,Judaism,Average,Italian,No,Judaism,Average
Rhonda Reed,"4061 149th St, Jurupa Valley, TX 39221",39221,77,43.179084,-114.049314,1947-09-17,American,Yes,Unitarianism,Tall,American,Yes,Unitarianism,Tall
John Thomas,"4061 149th St, Jurupa Valley, TX 39221",39221,65,43.179084,-114.049314,1959-09-17,American,Yes,Hinduism,Tall,American,Yes,Hinduism,Tall
Wendy Harris,"4061 149th St, Jurupa Valley, TX 39221",39221,45,43.179084,-114.049314,1979-09-17,Swedish,No,Atheism,Tall,Swedish,No,Atheism,Tall
Kristin Thomas,"553 73rd St, Fargo, MA 18479",18479,44,46.962188,-87.792863,1980-09-16,Vietnamese,No,Zoroastrianism,Average,Vietnamese,No,Zoroastrianism,Average
Autumn Diaz,"553 73rd St, Fargo, MA 18479",18479,66,46.962188,-87.792863,1958-09-17,English,Yes,Paganism,Short,English,Yes,Paganism,Short
Andrea Green,"553 73rd St, Fargo, MA 18479",18479,33,46.962188,-87.792863,1991-09-17,Canadian,Yes,Zoroastrianism,Tall,Canadian,Yes,Zoroastrianism,Tall
Jason Taylor,"553 73rd St, Fargo, MA 18479",18479,50,46.962188,-87.792863,1974-09-17,Italian,No,Shinto,Average,Italian,No,Shinto,Average
Connor Cruz,"553 73rd St, Fargo, MA 18479",18479,77,46.962188,-87.792863,1947-09-17,German,Yes,Shinto,Tall,German,Yes,Shinto,Tall
Marie Allen,"553 73rd St, Fargo, MA 18479",18479,50,46.962188,-87.792863,1974-09-17,Irish,Yes,Baháʼí,Short,Irish,Yes,Baháʼí,Short
Jeremiah Williams,"9308 117th St, Boulder, DE 73047",73047,49,39.422089,-87.826737,1975-09-17,English,Yes,Atheism,Tall,English,Yes,Atheism,Tall
Laura King,"9308 117th St, Boulder, DE 73047",73047,51,39.422089,-87.826737,1973-09-17,Indian,Yes,Paganism,Short,Indian,Yes,Paganism,Short
Donna Garcia,"9308 117th St, Boulder, DE 73047",73047,49,39.422089,-87.826737,1975-09-17,American,Yes,Taoism,Average,American,Yes,Taoism,Average
Elizabeth Jones,"1677 105th St, Fresno, MN 70945",70945,58,39.666641,-124.022858,1966-09-17,Polish,Yes,Atheism,Short,Polish,Yes,Atheism,Short
Denise Harris,"1677 105th St, Fresno, MN 70945",70945,47,39.666641,-124.022858,1977-09-17,French,No,Christianity,Short,French,No,Christianity,Short
Kelly Torres,"1677 105th St, Fresno, MN 70945",70945,46,39.666641,-124.022858,1978-09-17,Korean,Yes,Rastafarianism,Average,Korean,Yes,Rastafarianism,Average
Gary Parker,"1677 105th St, Fresno, MN 70945",70945,66,39.666641,-124.022858,1958-09-17,Russian,No,Druidism,Short,Russian,No,Druidism,Short
Rhonda Martin,"1677 105th St, Fresno, MN 70945",70945,25,39.666641,-124.022858,1999-09-17,English,No,Paganism,Short,English,No,Paganism,Short
Mark Rivera,"1677 105th St, Fresno, MN 70945",70945,52,39.666641,-124.022858,1972-09-16,Swedish,Yes,Islam,Average,Swedish,Yes,Islam,Average
Charles White,"8550 140th St, Dallas, MN 76539",76539,61,35.644228,-115.075563,1963-09-17,Dutch,No,Unitarianism,Short,Dutch,No,Unitarianism,Short
Daniel Flores,"8550 140th St, Dallas, MN 76539",76539,68,35.644228,-115.075563,1956-09-16,Dutch,No,Hinduism,Short,Dutch,No,Hinduism,Short
Russell Turner,"8550 140th St, Dallas, MN 76539",76539,63,35.644228,-115.075563,1961-09-17,Swedish,No,Hinduism,Tall,Swedish,No,Hinduism,Tall
Marilyn Reyes,"8550 140th St, Dallas, MN 76539",76539,31,35.644228,-115.075563,1993-09-17,Korean,Yes,Judaism,Short,Korean,Yes,Judaism,Short
Shelley Morales,"2897 128th St, Evansville, OH 72623",72623,22,38.416643,-92.08826,2002-09-17,Italian,No,Unitarianism,Short,Italian,No,Unitarianism,Short
